Stance,Q1_B1,Q1_B2,Q1_B3,Q9,Age,Gender,PostalCode
Strongly Opposed,It's a stupid idea. Thereis not enough bang in money or good jobs  for the billions it will cost.,There is NO DAMN room for it downtown. The infrstructure can't support it.,"We are trying to get cars OUT of the city core. A casin will bring in hundreds more ... full of drivers who are overtired, overalcoholized, and either deplessed or elated. These are not the people I want on my streets.",T,65 or older,Female,M6G
Strongly Opposed,Already too much traffic in the downtown area.,"Would encourage loitering by unwanteds. Prostitutes, Panhandlers etc.",,F,55-64,Male,L7T
Somewhat in Favour,employement,revenue for city expenses- Gardiner reconstruction?,bring more people to Toronto,F,45-54,Female,M5P
Strongly Opposed,No good to the family,No good to the children,No good to the eco,F,35-44,Male,L3S
Strongly Opposed,we do not need a casino,toronto does not want the type of people taht frequent casinos,"traffic, congestion, ruin whatever part of city it is in",T,55-64,Female,M4g
Strongly in Favour,City Revenue,Entertainment,Employment,F,35-44,Male,M5E
Strongly Opposed,Toronto has a great reputation as an upstanding city - gambling is not in line with the reputation we have earned,"For every casino, some number of people's lives get wrecked due to gambling addiction.  Why would the government support that?","The casino will generate easy cash for the city, but at what cost?  It is a service that dimishes the city's culture and values, children will grow up thinking that gambling is fine since the city operates it, they will also visit the establishment and develop interest in gambling that would not have been there otherwise.  Why not generate revenue from a positive activity?",T,35-44,Male,m3a
Strongly Opposed,Gambling is harmful,Casinos raise crime rates,Casinos are UGLY,T,45-54,Male,M4A
Neutral or Mixed Feelings,Already enough gambling available,,,F,45-54,Male,l4e
Strongly Opposed,"I do not believe  bringing another Casino into the GTA is a wise decision considering all the negative aspects associated with a Casino such as causing more traffic headaches, etc.",I do not believe gambling is a healthy recreational activity and would be problematic for anyone with addiction issues.,,T,55-64,Female,M4C
Strongly Opposed,Casinos will lead to addicted gamblers and at- risk gamblers.,"They will creat more sociable problems such as, families breakdown, gambling addiction, crimes....",They will bring adverse effect to the small business in the areas.,T,45-54,Female,L3P
Strongly Opposed,"many people have gambling addictions, this would make it worse",would take away from casino rama and others in smaller towns,,T,25-34,Female,M5P
Strongly in Favour,Positive jobs impact on city,Ability to utilize the casino to leverage better/more convention space,Positive net spin-offs for existing area hotels/restaurants,F,35-44,Male,M5V
Strongly in Favour,The City Needs the Revenue,The economy would thrive,Toronto would be seen as a world class city having every amenity,F,,,
Strongly Opposed,Addiction,It does not benefit society as a whole,Filters money out of Toronto,T,25-34,Male,M2H
Strongly Opposed,"Public Health Issues with gambling and having a gambling site easily accessible will increase incidents of gambling problems and its effects not just on the individual gambler, but their family and friends","Government may get revenues from gambling sites, but this is disproportionately from lower income people and other disadadvantaged groups",I prefer our entertainment focus be more on family oriented activities.,T,55-64,Female,M4G
Strongly in Favour,"If people want to gamble, that is their business.",It brings in money to the city and province.,,F,35-44,Male,
Strongly Opposed,Risk of greater social issues caused by addiction to gamblimg,Negative impact on the community,creation of a vegas- like city. Not my view of this city.,T,25-34,Female,m6r
Somewhat in Favour,It will contribute to the job growth and GDP growth in the city,It will be a source of income for the city,,F,25-34,Female,M2H
Strongly in Favour,"The revenue generation from taxes, permits, annuals revenue to the City will all be a windfall for residents and Province.",It's time Canada stepped up to the plate and provided a world class facility of this sort.,,F,45-54,Female,
Strongly Opposed,No Place,Potential Crime,Not needed,T,65 or older,Male,M5E
Strongly in Favour,Jobs and Revenue,,,F,55-64,Male,m8z
Strongly Opposed,Encourages Poverty,Encourages gambling,Easy access for Youth,F,35-44,Male,m5c
Strongly Opposed,A casino in the downtown core will adversely affect existing businesses and cause traffic chaos i the already congested downtown,A casino in the outer parts of the city will draw business away from legitimate pre-existing casinos and so adversely affect other parts of the province,A casino in Toronto will increase problems for individuals susceptible to gambling addiction who might not otherwise travel to casinos at a distance from the city,T,,,
Strongly Opposed,,,,T,Prefer not to disclose,Prefer not to disclose,
Somewhat in Favour,Only if is NOT downtown,"I believe the casino should ONLY be in at WOODBINE, the location is ready for a casion, the establishment was prepared to do woodbine live which would include hotels, stores everything you are looking for!!!",,F,25-34,Female,M3A
Strongly Opposed,casinos create money only for themselves - studies show there is no econ benefit to surrounding area/business,off track betting at Woodbine does nothing to build community - not part of the community,Niagara Falls' fortunes are not improved by the presence of casinos - casino goers don't do anything else in the community,T,45-54,Female,M4E
Strongly Opposed,Creates capitalism society,More addictions towards bad activities,More money matters more Ganges around,T,35-44,Male,M9m
Strongly Opposed,Casinos are designed to isolate and constrain the punters from their surroundings so they restrict access to other entertainment venues depriving them of revenue that is cannibalizing existing businesses,They are a tax on the poor and addicted.,,F,,,
Strongly Opposed,This mostly destroy ones life,Ethically wrong,Increases crime,T,,,
Strongly Opposed,Harm our future generation,Financial burden,Social Issues,T,55-64,Male,
Strongly Opposed,Gambling is not the best way for Canadians to help economy.,Gambling has disastrous effects on families.,"There are homeless people in Toronto, let the population gamble on them.",F,25-34,Male,m3n
Strongly Opposed,"I think there are many places for casinos, but not in the heart of the city. I can't think of any major world class city that would have a casino on the middle of the city. We don't have to be like everyone else, that is what makes Toronto and different at the same time.",,,F,25-34,Male,M8V
Somewhat Opposed,increased traffic (which is already terrible) and mega parking lots,increased crime,burden for tax payers,T,25-34,Female,M6R
Strongly Opposed,It has been proven again and again that gambling is damaging to the society,Easy access to gambling means more people will join there so more damaging,It is not just financially damaging but also damages an individual (gambler's) mental health,T,35-44,Male,M5E
Strongly Opposed,causes addiction,destroys neighbourhoods,,T,65 or older,Male,M2R
Strongly Opposed,moral,social,religious,T,35-44,Male,L4H
Strongly Opposed,Gambling addiction,Family problems,Losing of Savngs,T,25-34,Male,
Strongly Opposed,associated crime and undesirable social elements of having the casino in our world class city,"there are a number of casinos - niagara, rama that are just a short drive away from toronto already",traffic and congestion,T,35-44,Male,L6H
Strongly Opposed,it will negatively impact the city,no city in the world that has a casino is a good one,it will attract the wrong people,F,25-34,Female,
